"Country","Date","RelativeTimeSpentInRetailAndRecreation","RelativeTimeSpentInGroceryAndPharmacy","RelativeTimeSpentInParks","RelativeTimeSpentInTransitStations","RelativeTimeSpentInWorkplaces","RelativeTimeSpentInResidents","IsoCode","Continent","NewCases","NewDeaths","PeopleVaccinated","PeopleFullyVaccinated","TotalBoosterVaccines","StringencyIndex","Population"
"Argentina","2021-12-01",2,31,-11,11,30,-1,"ARG","South America",1881,8,37432360,30640101,2381772,42.59,45605823
"Argentina","2021-12-02",2,29,-17,10,28,0,"ARG","South America",2681,20,37511565,30807584,2531433,42.59,45605823
"Argentina","2021-12-03",7,34,-16,12,27,-1,"ARG","South America",2382,22,37581688,30942887,2641723,42.59,45605823
"Argentina","2021-12-04",8,33,-18,17,10,1,"ARG","South America",1690,4,37613425,31006159,2710490,42.59,45605823
"Argentina","2021-12-05",-1,19,-16,6,1,3,"ARG","South America",1294,3,37632525,31051503,2742527,42.59,45605823
"Argentina","2021-12-06",6,34,-15,13,26,-1,"ARG","South America",2477,34,37699238,31204150,2836219,42.59,45605823
"Argentina","2021-12-07",19,44,-5,22,28,-4,"ARG","South America",3089,23,37765371,31372994,2937106,41.67,45605823
"Argentina","2021-12-08",-11,10,-5,-17,-45,8,"ARG","South America",1881,5,37791801,31427398,2991105,41.67,45605823
"Argentina","2021-12-09",7,36,-19,14,28,0,"ARG","South America",2744,11,37847508,31552659,3112328,41.67,45605823
"Argentina","2021-12-10",12,37,-13,16,29,-1,"ARG","South America",3573,29,37901643,31685781,3240925,41.67,45605823
"Argentina","2021-12-11",11,30,-12,21,15,0,"ARG","South America",2445,12,37930469,31745912,3308539,41.67,45605823
"Argentina","2021-12-12",-3,16,-23,5,5,4,"ARG","South America",1570,11,37943815,31781293,3356952,41.67,45605823
"Argentina","2021-12-13",5,31,-19,13,25,0,"ARG","South America",3512,21,37998072,31905222,3505963,41.67,45605823
"Argentina","2021-12-14",7,34,-19,14,27,0,"ARG","South America",4555,34,38058750,32035407,3654489,41.67,45605823
"Argentina","2021-12-15",13,35,-7,15,28,-2,"ARG","South America",4819,31,38113871,32156262,3860860,41.67,45605823
"Argentina","2021-12-16",14,33,-13,15,26,-2,"ARG","South America",5301,17,38169802,32272956,4054632,41.67,45605823
"Argentina","2021-12-17",18,38,-10,18,26,-2,"ARG","South America",5648,18,38220357,32372665,4235620,41.67,45605823
"Argentina","2021-12-18",18,37,-9,29,16,-2,"ARG","South America",4163,7,38244771,32430623,4315190,41.67,45605823
"Argentina","2021-12-19",10,26,-6,22,11,0,"ARG","South America",3254,4,38257205,32460672,4364994,41.67,45605823
"Argentina","2021-12-20",18,42,-13,20,19,-1,"ARG","South America",5337,27,38307724,32565065,4556190,41.67,45605823
"Argentina","2021-12-21",27,54,-7,23,18,-2,"ARG","South America",9336,23,38367145,32686332,4727953,41.67,45605823
"Argentina","2021-12-22",29,62,2,26,18,-3,"ARG","South America",11121,11,38425703,32804137,4879055,41.67,45605823
"Argentina","2021-12-23",33,78,-5,26,13,-3,"ARG","South America",13456,15,38466199,32890191,4991311,41.67,45605823
"Argentina","2021-12-24",-6,56,-35,-11,-31,6,"ARG","South America",16279,29,38468512,32894686,4997466,55.56,45605823
"Argentina","2021-12-25",-55,-56,-30,-44,-51,3,"ARG","South America",7183,12,38468681,32894932,4997776,55.56,45605823
"Argentina","2021-12-26",-13,11,-17,-7,-2,4,"ARG","South America",7623,15,38480090,32911770,5022767,55.56,45605823
"Argentina","2021-12-27",1,31,-18,0,4,3,"ARG","South America",20263,31,38554965,33049228,5244729,55.56,45605823
"Argentina","2021-12-28",5,37,-13,3,4,2,"ARG","South America",33902,19,38631110,33177721,5565436,55.56,45605823
"Argentina","2021-12-29",5,42,-7,2,3,1,"ARG","South America",42032,26,38707163,33300703,5867010,55.56,45605823
"Argentina","2021-12-30",11,63,-12,5,-2,1,"ARG","South America",50506,35,38769890,33402206,6130389,55.56,45605823
"Argentina","2021-12-31",-19,50,-33,-23,-40,8,"ARG","South America",47663,23,38774077,33410508,6149860,55.56,45605823
"Argentina","2022-01-01",-55,-57,-32,-49,-55,7,"ARG","South America",20020,12,38774707,33411272,6152963,58.33,45605823
"Argentina","2022-01-02",-16,12,-16,-10,-8,6,"ARG","South America",20502,23,38789328,33431815,6222020,58.33,45605823
"Argentina","2022-01-03",-7,29,-15,-9,-10,5,"ARG","South America",44396,41,38862936,33533635,6540545,58.33,45605823
"Argentina","2022-01-04",-2,37,-12,-8,-10,6,"ARG","South America",81210,49,38947178,33645245,6898931,58.33,45605823
"Argentina","2022-01-05",3,40,2,-4,-9,5,"ARG","South America",95159,52,39035444,33765063,7239644,58.33,45605823
"Argentina","2022-01-06",-4,31,-9,-9,-11,7,"ARG","South America",109608,40,39128667,33883473,7577756,49.07,45605823
"Argentina","2022-01-07",-7,32,-12,-11,-11,8,"ARG","South America",110533,42,39220573,34007660,7935277,49.07,45605823
"Argentina","2022-01-08",-11,25,-15,-6,-5,7,"ARG","South America",101689,37,39259711,34058258,8118253,49.07,45605823
"Argentina","2022-01-09",-15,15,-11,-10,-7,7,"ARG","South America",73319,27,39281218,34086996,8233465,49.07,45605823
"Argentina","2022-01-10",-8,30,-14,-10,-14,6,"ARG","South America",88352,51,39361699,34183460,8573609,49.07,45605823
"Argentina","2022-01-11",-9,29,-13,-14,-14,6,"ARG","South America",134439,52,39433300,34273027,8914455,49.07,45605823
"Argentina","2022-01-12",-9,29,-5,-13,-12,6,"ARG","South America",131082,75,39502050,34359985,9260399,49.07,45605823
"Argentina","2022-01-13",-13,22,-15,-16,-13,7,"ARG","South America",128402,138,39563814,34440680,9584187,49.07,45605823
"Argentina","2022-01-14",-13,22,-16,-17,-12,8,"ARG","South America",139853,93,39616536,34509076,9883742,49.07,45605823
"Argentina","2022-01-15",-16,17,-23,-13,-4,7,"ARG","South America",96652,88,39636181,34536898,10024169,49.07,45605823
"Argentina","2022-01-16",-16,12,-23,-14,-5,8,"ARG","South America",65241,51,39648456,34553946,10128527,49.07,45605823
"Argentina","2022-01-17",-8,29,-25,-11,-12,7,"ARG","South America",102458,191,39702214,34625551,10424791,49.07,45605823
"Argentina","2022-01-18",-8,27,-28,-14,-12,8,"ARG","South America",120982,189,39750477,34693734,10716168,49.07,45605823
"Argentina","2022-01-19",-4,29,-11,-12,-9,7,"ARG","South America",128321,208,39796534,34760299,10991050,49.07,45605823
"Argentina","2022-01-20",-6,23,-20,-13,-9,8,"ARG","South America",129709,181,39842310,34826292,11263487,49.07,45605823
"Argentina","2022-01-21",-7,23,-22,-13,-8,9,"ARG","South America",118171,160,39884919,34888894,11531021,49.07,45605823
"Argentina","2022-01-22",-10,18,-30,-12,-1,8,"ARG","South America",98146,134,39902706,34914877,11660965,49.07,45605823
"Argentina","2022-01-23",-5,15,-13,-8,0,7,"ARG","South America",69884,65,39912797,34930679,11753850,49.07,45605823
"Argentina","2022-01-24",-2,27,-10,-6,-6,5,"ARG","South America",78121,276,39957268,34997808,12010809,49.07,45605823
"Argentina","2022-01-25",-4,25,-15,-10,-6,6,"ARG","South America",100863,259,39998753,35062088,12253581,49.07,45605823
"Argentina","2022-01-26",-3,26,-13,-9,-4,6,"ARG","South America",88503,316,40038652,35126989,12494338,49.07,45605823
"Argentina","2022-01-27",-2,26,-13,-7,-3,5,"ARG","South America",77729,333,40081956,35197431,12734171,49.07,45605823
"Argentina","2022-01-28",2,28,-7,-5,0,5,"ARG","South America",63884,305,40121597,35265844,12975309,49.07,45605823
"Argentina","2022-01-29",0,24,-7,3,7,3,"ARG","South America",41978,179,40137796,35294151,13088864,49.07,45605823
"Argentina","2022-01-30",-3,16,-4,4,7,3,"ARG","South America",21570,152,40146268,35309167,13161936,49.07,45605823
"Argentina","2022-01-31",2,30,-12,-1,0,4,"ARG","South America",43472,285,40185189,35375916,13416192,49.07,45605823
"Argentina","2022-02-01",4,34,-7,2,3,3,"ARG","South America",49122,240,40223464,35439173,13657027,49.07,45605823
"Argentina","2022-02-02",3,31,-2,0,5,3,"ARG","South America",45070,321,40257055,35497490,13882669,49.07,45605823
"Argentina","2022-02-03",0,29,-18,-7,2,5,"ARG","South America",42437,318,40287235,35554099,14076006,49.07,45605823
"Argentina","2022-02-04",6,36,-13,2,6,4,"ARG","South America",40094,287,40321025,35615275,14304369,49.07,45605823
"Argentina","2022-02-05",6,36,-20,6,8,4,"ARG","South America",21836,145,40332376,35637116,14406508,49.07,45605823
"Argentina","2022-02-06",5,26,-5,7,7,3,"ARG","South America",12664,100,40339655,35651594,14476074,49.07,45605823
"Argentina","2022-02-07",10,40,-5,7,7,2,"ARG","South America",25406,259,40372583,35713666,14669099,49.07,45605823
"Argentina","2022-02-08",12,40,2,10,8,1,"ARG","South America",32790,284,40405409,35776237,14846596,49.07,45605823
"Argentina","2022-02-09",10,37,7,7,9,1,"ARG","South America",27252,217,40437754,35834711,15057675,49.07,45605823
"Argentina","2022-02-10",8,33,-4,6,8,2,"ARG","South America",25110,263,40467147,35892310,15239180,49.07,45605823
"Argentina","2022-02-11",2,30,-24,1,9,4,"ARG","South America",16503,152,40491714,35943334,15405308,49.07,45605823
"Argentina","2022-02-12",9,34,-10,11,10,3,"ARG","South America",11322,128,40502072,35966044,15495776,49.07,45605823
"Argentina","2022-02-13",7,23,5,15,10,2,"ARG","South America",6289,94,40507809,35978982,15554356,49.07,45605823
"Argentina","2022-02-14",21,37,3,13,12,0,"ARG","South America",13050,268,40533605,36031982,15706660,49.07,45605823
"Argentina","2022-02-15",8,33,-2,10,12,1,"ARG","South America",18573,236,40559462,36082819,15847941,49.07,45605823
"Argentina","2022-02-16",4,31,-2,6,13,1,"ARG","South America",17034,180,40584901,36132703,15989386,49.07,45605823
"Argentina","2022-02-17",6,31,-8,7,13,2,"ARG","South America",16650,159,40610637,36184734,16124323,49.07,45605823
"Argentina","2022-02-18",8,32,-6,8,15,1,"ARG","South America",15389,138,40635120,36235214,16265526,49.07,45605823
"Argentina","2022-02-19",6,28,-8,11,12,2,"ARG","South America",7807,123,40642538,36252546,16328797,49.07,45605823
"Argentina","2022-02-20",-6,15,-22,-4,7,5,"ARG","South America",4450,93,40645771,36261261,16370816,49.07,45605823
"Argentina","2022-02-21",3,30,-16,8,13,2,"ARG","South America",11170,173,40669542,36311133,16501581,49.07,45605823
"Argentina","2022-02-22",7,33,-8,9,15,1,"ARG","South America",16950,167,40694362,36363291,16629403,49.07,45605823
"Argentina","2022-02-23",4,29,-3,8,16,1,"ARG","South America",12564,157,40718369,36414352,16760930,49.07,45605823
"Argentina","2022-02-24",-2,23,-23,-2,13,3,"ARG","South America",10298,97,40737364,36456506,16872104,49.07,45605823
"Argentina","2022-02-25",9,36,-4,13,17,0,"ARG","South America",9487,86,40759334,36506606,17007241,49.07,45605823
"Argentina","2022-02-26",6,34,-9,10,11,1,"ARG","South America",5595,90,40765349,36523309,17057383,49.07,45605823
"Argentina","2022-02-27",2,23,-12,-9,5,5,"ARG","South America",3610,72,40767849,36530840,17082587,49.07,45605823
"Argentina","2022-02-28",-5,8,14,-21,-53,7,"ARG","South America",3478,32,40771732,36541238,17113278,49.07,45605823
"Argentina","2022-03-01",-10,14,-2,-19,-46,7,"ARG","South America",3520,105,40775658,36551101,17143425,49.07,45605823
"Argentina","2022-03-02",4,38,-1,12,17,-2,"ARG","South America",8141,133,40788857,36581150,17234824,45.37,45605823
"Argentina","2022-03-03",1,33,-13,7,18,0,"ARG","South America",9219,141,40800678,36609643,17322281,45.37,45605823
"Argentina","2022-03-04",3,35,-18,5,20,1,"ARG","South America",8362,93,40812789,36638385,17407150,45.37,45605823
"Argentina","2022-03-05",3,32,-26,2,15,5,"ARG","South America",4430,84,40816742,36649531,17450668,45.37,45605823
"Argentina","2022-03-06",-2,22,-16,3,12,6,"ARG","South America",2274,60,40818610,36655736,17497470,45.37,45605823
"Argentina","2022-03-07",2,34,-18,7,19,1,"ARG","South America",6286,74,40828866,36681180,17614724,45.37,45605823
"Argentina","2022-03-08",11,39,-5,12,17,0,"ARG","South America",6474,59,40835882,36699554,17693502,45.37,45605823
"Argentina","2022-03-09",-5,28,-22,-4,21,2,"ARG","South America",6096,54,40843326,36719033,17786185,45.37,45605823
"Argentina","2022-03-10",0,31,-18,8,24,1,"ARG","South America",6137,54,40854195,36740054,17871114,45.37,45605823
"Argentina","2022-03-11",7,36,-13,7,27,1,"ARG","South America",5615,42,40863491,36763554,17966024,45.37,45605823
"Argentina","2022-03-12",9,33,-10,9,19,3,"ARG","South America",2986,71,40866718,36773036,18010202,45.37,45605823
"Argentina","2022-03-13",0,22,-4,7,14,4,"ARG","South America",1236,65,40868030,36777272,18032950,45.37,45605823
"Argentina","2022-03-14",0,31,-15,10,27,1,"ARG","South America",4647,70,40876551,36798586,18109264,45.37,45605823
"Argentina","2022-03-15",2,33,-11,12,28,0,"ARG","South America",5076,38,40884780,36820391,18205741,45.37,45605823
"Argentina","2022-03-16",1,30,-4,11,30,0,"ARG","South America",4681,39,40892799,36840854,18296555,45.37,45605823
"Argentina","2022-03-17",-1,27,-18,8,30,1,"ARG","South America",4577,29,40900492,36861439,18383113,45.37,45605823
"Argentina","2022-03-18",-2,27,-28,1,30,3,"ARG","South America",14416,76,40907410,36881024,18479896,45.37,45605823
"Argentina","2022-03-19",6,31,-19,9,18,4,"ARG","South America",1697,44,40910156,36889896,18535370,45.37,45605823
"Argentina","2022-03-20",-7,17,-23,2,11,6,"ARG","South America",1227,11,40911120,36893628,18562385,45.37,45605823
"Argentina","2022-03-21",-4,27,-25,9,35,1,"ARG","South America",3614,105,40917279,36911203,18655506,45.37,45605823
"Argentina","2022-03-22",-2,28,-21,10,35,1,"ARG","South America",4690,76,40923446,36928048,18740427,42.59,45605823
"Argentina","2022-03-23",1,28,-15,13,37,-1,"ARG","South America",3603,77,40929964,36945623,18833047,42.59,45605823
"Argentina","2022-03-24",-28,-4,-39,-35,-44,15,"ARG","South America",1580,28,40930977,36949005,18852949,42.59,45605823
"Argentina","2022-03-25",-5,29,-30,-1,34,3,"ARG","South America",2572,66,40936537,36964949,18942480,42.59,45605823
"Argentina","2022-03-26",3,28,-21,3,18,5,"ARG","South America",1445,58,40938636,36971524,18983261,42.59,45605823
"Argentina","2022-03-27",-3,17,-5,4,14,5,"ARG","South America",818,5,40939403,36974319,19001560,42.59,45605823
"Argentina","2022-03-28",-4,25,-20,11,41,1,"ARG","South America",2655,34,40945032,36990247,19086397,42.59,45605823
"Argentina","2022-03-29",-8,22,-29,0,39,1,"ARG","South America",3432,27,40950234,37005229,19161191,42.59,45605823
"Argentina","2022-03-30",-7,21,-22,8,42,1,"ARG","South America",2965,27,40954707,37017915,19236574,42.59,45605823
"Argentina","2022-03-31",-4,24,-24,9,43,1,"ARG","South America",2784,22,40959715,37032213,19313963,42.59,45605823
"Argentina","2022-04-01",2,33,-18,8,45,0,"ARG","South America",1927,33,40964462,37046097,19382627,42.59,45605823
"Argentina","2022-04-02",0,26,-17,3,1,5,"ARG","South America",802,7,40965762,37049972,19401789,42.59,45605823
"Argentina","2022-04-03",-8,20,-27,-3,11,6,"ARG","South America",484,6,40966459,37052488,19413120,42.59,45605823
"Argentina","2022-04-04",-2,32,-22,11,45,0,"ARG","South America",1974,21,40970640,37064286,19472875,42.59,45605823
"Argentina","2022-04-05",2,36,-17,15,45,-1,"ARG","South America",2228,20,40974697,37076083,19529269,42.59,45605823
"Argentina","2022-04-06",2,34,-10,14,46,-1,"ARG","South America",2082,38,40978628,37086884,19576572,42.59,45605823
"Argentina","2022-04-07",1,31,-20,13,44,0,"ARG","South America",1842,14,40982122,37096681,19623027,42.59,45605823
"Argentina","2022-04-08",9,39,-14,16,47,0,"ARG","South America",1993,36,40985666,37106956,19675792,42.59,45605823
"Argentina","2022-04-09",14,38,-13,17,22,2,"ARG","South America",840,3,40987092,37111557,19696594,42.59,45605823
"Argentina","2022-04-10",-3,21,-20,6,12,6,"ARG","South America",453,1,40987665,37113709,19704813,42.59,45605823
"Argentina","2022-04-11",-2,32,-28,14,46,1,"ARG","South America",1590,35,40990660,37122594,19756299,42.59,45605823
"Argentina","2022-04-12",4,38,-20,19,48,0,"ARG","South America",2077,35,40994026,37131945,19807698,42.59,45605823
"Argentina","2022-04-13",11,46,-6,24,47,-3,"ARG","South America",1720,17,40997788,37142613,19863018,42.59,45605823
"Argentina","2022-04-14",7,40,-9,-5,-13,5,"ARG","South America",1428,21,40998654,37145166,19880645,42.59,45605823
"Argentina","2022-04-15",-21,-3,-3,-34,-54,14,"ARG","South America",593,21,40999130,37146648,19889832,42.59,45605823
"Argentina","2022-04-16",6,33,-4,1,8,4,"ARG","South America",551,17,40999827,37148908,19907703,42.59,45605823
"Argentina","2022-04-17",-11,15,-16,8,15,2,"ARG","South America",428,0,41000049,37149662,19913049,42.59,45605823
"Argentina","2022-04-18",-4,26,-22,14,48,0,"ARG","South America",0,0,41003350,37159139,19988321,42.59,45605823
"Argentina","2022-04-19",-1,29,-17,15,48,0,"ARG","South America",0,0,41006631,37168745,20070542,,45605823
"Argentina","2022-04-20",-3,26,-14,13,50,0,"ARG","South America",0,0,41009794,37178953,20158813,,45605823
"Argentina","2022-04-21",-3,26,-23,12,49,1,"ARG","South America",0,0,41012823,37188278,20242287,,45605823
"Argentina","2022-04-22",-1,29,-29,8,47,2,"ARG","South America",0,0,41015758,37196921,20331808,,45605823
"Argentina","2022-04-23",8,33,-18,13,22,4,"ARG","South America",0,0,41016912,37200626,20365801,,45605823
"Argentina","2022-04-24",0,20,-11,6,13,5,"ARG","South America",0,0,41017351,37202159,20377917,,45605823
"Argentina","2022-04-25",-5,26,-25,9,48,2,"ARG","South America",11307,198,41020157,37210341,20471743,,45605823
"Argentina","2022-04-26",-7,24,-29,5,44,3,"ARG","South America",0,0,41022820,37218346,20559681,,45605823
"Argentina","2022-04-27",-4,25,-17,12,49,0,"ARG","South America",0,0,41025375,37226376,20648953,,45605823
"Argentina","2022-04-28",-4,24,-25,12,52,1,"ARG","South America",0,0,41028152,37235485,20748965,,45605823
"Argentina","2022-04-29",2,34,-22,13,52,1,"ARG","South America",0,0,41030745,37243859,20856806,,45605823
"Argentina","2022-04-30",8,42,-26,11,21,4,"ARG","South America",0,0,41031599,37246768,20895573,,45605823
"Argentina","2022-05-01",-18,-14,-18,1,2,6,"ARG","South America",11443,111,41031626,37246852,20896365,,45605823
"Argentina","2022-05-02",-5,31,-30,12,49,1,"ARG","South America",0,0,41033725,37253385,20985419,,45605823
"Argentina","2022-05-03",1,35,-21,15,50,1,"ARG","South America",0,0,41035870,37260407,21081480,,45605823
"Argentina","2022-05-04",2,33,-15,15,54,-1,"ARG","South America",0,0,41038154,37267658,21179213,,45605823
"Argentina","2022-05-05",4,34,-19,16,52,0,"ARG","South America",0,0,41041837,37283886,21291709,,45605823
"Austria","2021-12-01",-50,12,-8,-30,-27,10,"AUT","Europe",10367,61,,,,67.59,9043072
"Austria","2021-12-02",-54,4,-29,-34,-27,12,"AUT","Europe",8882,72,,,,67.59,9043072
"Austria","2021-12-03",-53,11,-23,-35,-27,12,"AUT","Europe",6738,68,6478680,5969559,2579114,67.59,9043072
"Austria","2021-12-04",-60,2,-24,-42,-26,10,"AUT","Europe",7304,60,,,,67.59,9043072
"Austria","2021-12-05",-69,-25,-33,-40,-28,9,"AUT","Europe",5192,43,,,,67.59,9043072
"Austria","2021-12-06",-47,9,-18,-33,-25,9,"AUT","Europe",4625,48,,,,67.59,9043072
"Austria","2021-12-07",-46,26,-9,-31,-25,8,"AUT","Europe",4233,77,,,,67.59,9043072
"Austria","2021-12-08",-71,-55,3,-58,-81,26,"AUT","Europe",5663,58,,,,67.59,9043072
"Austria","2021-12-09",-56,1,-25,-29,-26,12,"AUT","Europe",4437,32,,,,67.59,9043072
"Austria","2021-12-10",-54,11,-20,-32,-23,11,"AUT","Europe",3659,65,6542836,6069131,3088594,67.59,9043072
"Austria","2021-12-11",-61,-1,-18,-39,-21,10,"AUT","Europe",4460,67,,,,67.59,9043072
"Austria","2021-12-12",-59,-13,8,-29,-19,7,"AUT","Europe",2479,19,,,,64.81,9043072
"Austria","2021-12-13",-19,18,-9,-23,-17,6,"AUT","Europe",4170,56,,,,64.81,9043072
"Austria","2021-12-14",-22,20,7,-21,-17,6,"AUT","Europe",2859,64,,,,64.81,9043072
"Austria","2021-12-15",-23,21,6,-19,-17,6,"AUT","Europe",4224,51,,,,64.81,9043072
"Austria","2021-12-16",-26,18,-4,-20,-17,6,"AUT","Europe",3046,53,,,,64.81,9043072
"Austria","2021-12-17",-16,19,8,-17,-15,5,"AUT","Europe",2899,52,6611556,6174200,3594495,64.81,9043072
"Austria","2021-12-18",-14,13,27,-11,-2,3,"AUT","Europe",2167,24,,,,64.81,9043072
"Austria","2021-12-19",-5,45,32,-9,1,3,"AUT","Europe",2242,17,,,,64.81,9043072
"Austria","2021-12-20",-3,24,11,-20,-17,4,"AUT","Europe",1792,17,,,,64.81,9043072
"Austria","2021-12-21",-4,30,27,-17,-17,4,"AUT","Europe",2528,42,,,,64.81,9043072
"Austria","2021-12-22",-4,38,15,-16,-20,4,"AUT","Europe",2269,29,,,,64.81,9043072
"Austria","2021-12-23",-6,52,2,-20,-31,7,"AUT","Europe",2147,28,,,,64.81,9043072
"Austria","2021-12-24",-56,-19,-18,-48,-73,18,"AUT","Europe",2374,22,6644356,6235143,3822575,60.19,9043072
"Austria","2021-12-25",-79,-91,-27,-52,-52,9,"AUT","Europe",2085,9,,,,60.19,9043072
"Austria","2021-12-26",-51,-7,-5,-29,-20,3,"AUT","Europe",1717,8,,,,60.19,9043072
"Austria","2021-12-27",-12,6,25,-38,-58,13,"AUT","Europe",1550,16,,,,64.81,9043072
"Austria","2021-12-28",-15,6,25,-39,-57,14,"AUT","Europe",2416,22,,,,64.81,9043072
"Austria","2021-12-29",-14,13,15,-37,-57,14,"AUT","Europe",3251,17,,,,64.81,9043072
"Austria","2021-12-30",-12,32,13,-35,-57,13,"AUT","Europe",3225,12,,,,64.81,9043072
"Austria","2021-12-31",-39,0,58,-40,-69,14,"AUT","Europe",3624,32,6667508,6286910,3979880,60.19,9043072
"Austria","2022-01-01",-72,-89,21,-43,-49,10,"AUT","Europe",3608,16,,,,64.81,9043072
"Austria","2022-01-02",-31,16,40,-12,-11,3,"AUT","Europe",3283,3,,,,64.81,9043072
"Austria","2022-01-03",-13,13,22,-35,-48,12,"AUT","Europe",3319,7,,,,64.81,9043072
"Austria","2022-01-04",-16,9,23,-35,-47,13,"AUT","Europe",5496,25,,,,64.81,9043072
"Austria","2022-01-05",-16,26,-6,-37,-48,12,"AUT","Europe",9761,18,,,,64.81,9043072
"Austria","2022-01-06",-59,-84,15,-53,-82,24,"AUT","Europe",8853,21,,,,64.81,9043072
"Austria","2022-01-07",-22,15,11,-37,-52,13,"AUT","Europe",8786,7,6697382,6353508,4179958,64.81,9043072
"Austria","2022-01-08",-30,-3,-2,-25,-10,6,"AUT","Europe",7405,14,,,,64.81,9043072
"Austria","2022-01-09",-44,-7,-16,-21,-6,6,"AUT","Europe",10291,4,,,,64.81,9043072
"Austria","2022-01-10",-25,11,-14,-27,-19,7,"AUT","Europe",10804,7,,,,64.81,9043072
"Austria","2022-01-11",-26,10,-1,-28,-19,8,"AUT","Europe",11516,17,,,,64.81,9043072
"Austria","2022-01-12",-27,8,-4,-28,-20,8,"AUT","Europe",17006,10,,,,64.81,9043072
"Austria","2022-01-13",-28,5,-8,-28,-20,8,"AUT","Europe",15852,16,,,,64.81,9043072
"Austria","2022-01-14",-27,10,3,-26,-19,8,"AUT","Europe",16822,7,6731105,6417051,4416762,64.81,9043072
"Austria","2022-01-15",-26,2,16,-23,-7,5,"AUT","Europe",16749,10,,,,64.81,9043072
"Austria","2022-01-16",-33,2,19,-22,-6,4,"AUT","Europe",15419,5,,,,64.81,9043072
"Austria","2022-01-17",-27,5,-13,-29,-20,8,"AUT","Europe",15717,2,,,,64.81,9043072
"Austria","2022-01-18",-24,8,11,-26,-20,7,"AUT","Europe",16685,20,,,,64.81,9043072
"Austria","2022-01-19",-21,7,11,-27,-21,7,"AUT","Europe",27677,14,,,,64.81,9043072
"Austria","2022-01-20",-28,1,-19,-30,-21,9,"AUT","Europe",1833,0,,,,64.81,9043072
"Austria","2022-01-21",-29,5,-19,-31,-21,9,"AUT","Europe",25418,0,6758996,6455088,4593746,64.81,9043072
"Austria","2022-01-22",-31,-5,-21,-31,-8,7,"AUT","Europe",46669,29,,,,64.81,9043072
"Austria","2022-01-23",-37,-6,-17,-32,-7,6,"AUT","Europe",22453,6,,,,64.81,9043072
"Austria","2022-01-24",-23,5,-5,-30,-21,8,"AUT","Europe",25610,9,,,,62.04,9043072
"Austria","2022-01-25",-23,5,3,-30,-22,8,"AUT","Europe",24946,19,,,,62.04,9043072
"Austria","2022-01-26",-23,5,-1,-29,-22,8,"AUT","Europe",34011,11,,,,62.04,9043072
"Austria","2022-01-27",-25,3,-4,-29,-22,9,"AUT","Europe",43053,12,,,,62.04,9043072
"Austria","2022-01-28",-27,6,-20,-31,-21,9,"AUT","Europe",38631,19,6778218,6487179,4740625,68.52,9043072
"Austria","2022-01-29",-24,0,-12,-29,-7,6,"AUT","Europe",34748,16,,,,68.52,9043072
"Austria","2022-01-30",-34,-1,-13,-30,-6,5,"AUT","Europe",27127,14,,,,68.52,9043072
"Austria","2022-01-31",-22,7,-12,-30,-21,8,"AUT","Europe",27411,12,,,,61.11,9043072
"Austria","2022-02-01",-23,8,-6,-27,-21,9,"AUT","Europe",25894,24,,,,61.11,9043072
"Austria","2022-02-02",-24,7,-15,-29,-22,9,"AUT","Europe",39410,16,,,,61.11,9043072
"Austria","2022-02-03",-22,6,0,-26,-21,8,"AUT","Europe",38135,24,,,,61.11,9043072
"Austria","2022-02-04",-21,10,1,-26,-21,8,"AUT","Europe",36329,25,6790128,6519048,4896893,61.11,9043072
"Austria","2022-02-05",-19,2,9,-24,-6,4,"AUT","Europe",32258,22,,,,61.11,9043072
"Austria","2022-02-06",-24,7,16,-22,-5,4,"AUT","Europe",29324,18,,,,61.11,9043072
"Austria","2022-02-07",-23,1,-18,-32,-26,9,"AUT","Europe",27299,14,,,,61.11,9043072
"Austria","2022-02-08",-18,7,8,-29,-26,8,"AUT","Europe",27087,25,,,,61.11,9043072
"Austria","2022-02-09",-16,7,36,-25,-26,7,"AUT","Europe",38309,22,,,,61.11,9043072
"Austria","2022-02-10",-18,3,27,-25,-26,7,"AUT","Europe",35250,22,,,,61.11,9043072
"Austria","2022-02-11",-23,6,-17,-31,-25,9,"AUT","Europe",32712,22,6798605,6543356,4968712,61.11,9043072
"Austria","2022-02-12",-15,3,26,-18,-5,3,"AUT","Europe",31128,23,,,,57.41,9043072
"Austria","2022-02-13",-14,17,47,-12,-2,2,"AUT","Europe",25951,12,,,,57.41,9043072
"Austria","2022-02-14",-6,15,26,-23,-23,6,"AUT","Europe",24565,20,,,,57.41,9043072
"Austria","2022-02-15",-19,5,4,-26,-23,8,"AUT","Europe",25177,35,,,,57.41,9043072
"Austria","2022-02-16",-15,9,16,-23,-23,7,"AUT","Europe",38256,44,,,,57.41,9043072
"Austria","2022-02-17",-21,2,-9,-26,-23,8,"AUT","Europe",30914,32,,,,57.41,9043072
"Austria","2022-02-18",-18,8,4,-25,-22,7,"AUT","Europe",31166,34,6803943,6560142,5006121,57.41,9043072
"Austria","2022-02-19",-15,1,0,-21,-4,4,"AUT","Europe",0,0,,,,57.41,9043072
"Austria","2022-02-20",-16,15,18,-16,-2,3,"AUT","Europe",48357,44,,,,57.41,9043072
"Austria","2022-02-21",-17,6,-4,-27,-22,7,"AUT","Europe",21436,13,,,,57.41,9043072
